,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
155,Oceania,Papua_New_Guinea,PNG,2,16,750,1,1,1,2,2,4,4,4,4,3,2,1,3,3,4,3,3,3,1,4,3,2,1
156,Oceania,Pacific,,1,4,400,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3
157,Pacific,Micronesia,FSM,1,4,750,3,3,3,4,4,4,4,4,4,4,4,3,4,4,2,5,4,2,1,4,3,1,2
158,Pacific,Melanesia,SLB,1,4,750,3,3,3,4,4,4,4,4,4,4,4,3,4,4,2,5,4,2,1,4,3,1,2
159,Pacific,Polynesia,PYF,1,4,800,3,3,3,4,4,4,4,4,4,4,4,3,4,4,2,5,4,3,1,4,3,1,2
160,Europe,North_Europe,,1,6,400,2,2,2,3,4,5,5,5,4,3,3,2,5,3,3,3,3,3,3,3,3,3,3
161,North_Europe,Norway,NOR,1,8,560,2,2,2,3,4,5,5,5,4,3,3,2,5,4,4,1,2,2,4,3,3,2,3
162,North_Europe,Finland,FIN,1,6,525,2,2,2,3,4,5,5,5,4,3,3,2,5,4,3,1,2,3,3,3,3,2,3
163,North_Europe,Sweden_and_Denmark,SWE,1,6,525,2,2,2,3,4,5,5,5,4,3,3,2,5,4,3,2,3,3,3,3,3,3,3
164,North_Europe,Iceland_and_Faroe_Islands,ISL,1,5,560,2,2,2,3,4,5,5,5,4,3,3,2,5,4,4,1,3,2,2,3,2,2,2
165,Europe,Central_Europe,,1,5,400,3,2,3,3,4,5,5,5,5,4,2,3,4,3,3,3,3,3,3,3,3,3,3
166,Central_Europe,Germany,DEU,1,8,420,3,2,3,3,4,5,5,5,5,4,2,3,4,3,3,2,2,4,3,4,3,4,3
167,Central_Europe,Austria,AUT,1,5,500,4,4,4,3,4,5,5,5,4,3,2,4,4,4,4,1,2,3,5,4,3,4,3
168,Central_Europe,Benelux,NLD,1,6,420,3,2,3,3,4,5,5,5,5,4,2,3,4,3,3,2,2,3,2,4,2,4,3
169,Central_Europe,Switzerland_and_Liechtenstein,CHE,1,5,750,4,4,4,3,4,5,5,5,4,3,2,4,4,4,4,1,2,3,5,4,3,4,3
170,Central_Europe,France,FRA,1,8,420,3,2,3,3,4,5,5,5,5,4,2,3,4,4,4,4,3,3,3,4,4,4,4
171,Central_Europe,Slovenia_and_Croatia,SVN,1,4,350,3,2,3,3,4,5,5,5,5,4,2,3,4,3,3,4,3,3,2,4,3,4,3
172,Europe,British_Islands,,1,4,420,2,2,3,4,5,5,4,4,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3
173,British_Islands,Ireland_and_Northern_Ireland,IRL,1,4,420,2,2,3,4,5,5,4,4,4,4,3,2,4,4,3,1,1,3,2,4,3,3,3
174,British_Islands,Scotland,GBR_SC,1,4,420,2,2,3,4,5,5,4,4,4,4,3,2,4,3,3,1,1,3,2,4,2,3,3
175,British_Islands,England_and_Wales,GBR_EN,1,4,420,2,2,3,4,5,5,4,4,4,4,3,2,4,3,3,2,1,3,1,4,2,4,4
176,Europe,Eastern_Europe,,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,3,2,3,3,3,3,3,3,3
177,Eastern_Europe,Czech_Republic_and_Slovakia,CZE,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,3,1,1,3,3,4,3,4,3
178,Eastern_Europe,Hungary,HUN,1,2,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,4,2,2,3,2,4,3,4,3
179,Eastern_Europe,Baltic_states,EST,1,2,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,3,2,2,3,2,4,3,4,2
180,Eastern_Europe,Poland,POL,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,2,2,2,3,1,3,3,3,3
181,Eastern_Europe,Belarus_Ukraine_and_Moldova,BLR,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,3,2,2,2,2,3,3,2,2
182,Eastern_Europe,Romania_Bulgaria_and_Macedonia,ROU,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,3,3,3,3,2,1,3,3,3,2
183,Eastern_Europe,Serbia_Bosnia_and_Herzegovina_Montenegro,SRB,1,4,350,2,2,2,3,5,5,4,4,5,5,3,2,4,2,2,1,1,2,1,3,3,2,2
184,Eastern_Europe,Albania_Kosovo,ALB,1,2,350,2,2,2,3,5,5,4,4,5,5,3,2,4,2,2,3,2,2,1,3,3,2,2
185,Europe,Southern_Europe,,1,8,350,2,2,3,5,5,5,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3
186,Southern_Europe,Corsica_and_Sardinia,FRA_CO,1,4,350,2,2,3,5,5,5,4,4,5,5,4,3,3,3,3,4,3,2,1,3,3,2,2
187,Southern_Europe,Italy_and_Malta,ITA,1,12,350,2,2,3,5,5,5,4,4,5,5,4,3,3,4,4,4,4,3,1,5,4,5,3
188,Southern_Europe,Greece_mainland,GRC_ML,1,6,350,2,2,3,5,5,5,4,4,5,5,4,3,3,4,4,4,4,3,1,4,4,4,3
189,Southern_Europe,Greece_islands,GRC_IS,1,8,350,2,2,3,5,5,5,4,4,5,5,4,3,3,4,3,5,4,4,1,5,4,3,2
190,Southern_Europe,Spain_mainland,ESP_ML,1,8,350,2,2,3,5,5,5,4,4,5,5,4,3,3,3,2,5,4,4,1,4,4,4,3
191,Southern_Europe,Spain_Balearic_Islands,ESP_BA,1,2,350,2,2,3,4,5,5,4,4,5,5,3,2,3,4,4,5,4,5,1,3,4,3,2
192,Southern_Europe,Spain_Canary_islands,ESP_CA,1,2,350,4,4,4,5,5,5,4,4,5,5,5,3,3,3,3,4,3,4,1,3,3,3,2
193,Southern_Europe,Portugal_mainland,PRT,1,5,350,2,2,3,5,5,5,4,4,5,5,4,3,3,3,3,4,3,3,1,4,4,4,2
194,Southern_Europe,Portugal_islands,PRT_IS,1,8,350,2,2,3,5,5,5,4,4,5,5,4,3,3,4,4,4,4,3,1,4,3,3,2
195,Southern_Europe,Turkey,TUR,1,6,350,2,2,3,5,5,5,4,4,5,5,4,3,3,3,3,4,3,3,3,5,4,4,3
196,Southern_Europe,Cyprus,CYP,1,6,350,2,2,3,5,5,5,4,4,5,5,4,3,3,2,3,4,4,3,1,4,3,3,2
